bathrooms,bedrooms,floor_area,price,price_per_area,property_type
,,52500 sq.ft.,"Rs. 290,000,000",5523.809523809524,Factory
3,3,2590 sq.ft.,"Rs. 61,000,000",23552.12355212355,House
2,2,950 sq.ft.,"Rs. 40,000,000",42105.26315789474,Apartment
4,4,3100 sq.ft.,"Rs. 187,500,000",60483.87096774193,Bungalow
,,10608 sq.ft.,"Rs. 320,000,000",30165.912518853696,Building
4,4,1089 sq.ft.,"Rs. 45,000,000",41322.31404958678,House
2,3,1175 sq.ft.,"Rs. 44,000,000",37446.8085106383,House
2,3,1700 sq.ft.,"Rs. 177,000,000",104117.64705882352,Apartment
2,2,750 sq.ft.,"Rs. 19,500,000",26000.0,Apartment
4,5,3900 sq.ft.,"Rs. 71,500,000",18333.333333333332,House
2,2,904 sq.ft.,"Rs. 59,900,000",66261.06194690266,Apartment
2,3,1630 sq.ft.,"Rs. 80,000,000",49079.754601226996,Apartment
1,1,890 sq.ft.,"Rs. 65,000,000",73033.70786516854,Apartment
4,6,4700 sq.ft.,"Rs. 52,500,000",11170.212765957447,House
2,3,1037 sq.ft.,"Rs. 45,000,000",43394.40694310511,Apartment
10,,2000 sq.ft.,"Rs. 300,000,000",150000.0,Hotel
6,6,2100 sq.ft.,"Rs. 79,000,000",37619.04761904762,Villa
4,4,2599 sq.ft.,"Rs. 60,000,000",23085.80223162755,Villa
2,3,1030 sq.ft.,"Rs. 45,000,000",43689.320388349515,Apartment
4,4,3500 sq.ft.,"Rs. 59,000,000",16857.14285714286,House
2,3,1500 sq.ft.,"Rs. 82,000,000",54666.666666666664,Apartment
3,3,1679 sq.ft.,"Rs. 88,000,000",52412.150089338895,Apartment
2,2,1158 sq.ft.,"Rs. 105,000,000",90673.57512953368,Apartment
2,2,774 sq.ft.,"Rs. 76,000,000",98191.21447028423,Apartment
2,2,1302 sq.ft.,"Rs. 160,000,000",122887.86482334869,Apartment
4,4,3100 sq.ft.,"Rs. 62,000,000",20000.0,House
,,1264 sq.ft.,"Rs. 43,000,000",34018.987341772154,Apartment
5,4,2087 sq.ft.,"Rs. 135,000,000",64686.152371825585,Apartment
3,3,1900 sq.ft.,"Rs. 40,000,000",21052.63157894737,House
1,2,670 sq.ft.,"Rs. 32,900,000",49104.477611940296,Apartment
3,3,2500 sq.ft.,"Rs. 48,500,000",19400.0,House
1,1,647 sq.ft.,"Rs. 55,000,000",85007.72797527048,Apartment
2,2,1012 sq.ft.,"Rs. 80,000,000",79051.38339920949,Apartment
4,3,1500 sq.ft.,"Rs. 78,500,000",52333.333333333336,Apartment
3,3,9885 sq.ft.,"Rs. 402,000,000",40667.678300455234,Apartment
2,2,1084 sq.ft.,"Rs. 88,000,000",81180.81180811809,Apartment
,2,2900 sq.ft.,"Rs. 60,000,000",20689.655172413793,House
2,2,838 sq.ft.,"Rs. 19,900,000",23747.016706443916,House
,2,1100 sq.ft.,"Rs. 40,000,000",36363.63636363636,Villa
3,3,4500 sq.ft.,"Rs. 110,000,000",24444.444444444445,Apartment
3,3,2700 sq.ft.,"Rs. 120,000,000",44444.444444444445,Villa
2,3,2000 sq.ft.,"Rs. 23,632,000",11816.0,House
2,4,2000 sq.ft.,"Rs. 23,632,000",11816.0,House
2,2,1020 sq.ft.,"Rs. 85,000,000",83333.33333333333,Apartment
2,3,1433 sq.ft.,"Rs. 45,000,000",31402.6517794836,House
1,2,272 sq.ft.,"Rs. 11,100,000",40808.82352941176,House
,,5000 sq.ft.,"Rs. 145,000,000",29000.0,Villa
2,3,3000 sq.ft.,"Rs. 50,000,000",16666.666666666668,House
10,16,10000 sq.ft.,"Rs. 150,000,000",15000.0,Villa
2,3,1214 sq.ft.,"Rs. 110,000,000",90609.55518945634,Apartment
1,2,1650 sq.ft.,"Rs. 16,500,000",10000.0,House
2,3,1763 sq.ft.,"Rs. 97,000,000",55019.85252410664,Bungalow
2,3,1850 sq.ft.,"Rs. 55,000,000",29729.72972972973,Apartment
,3,1953.67 sq.ft.,"Rs. 110,538,422",565.7988401316496,Apartment
,4,2755.58 sq.ft.,"Rs. 162,407,232",589.3758555367654,Apartment
4,5,3100 sq.ft.,"Rs. 60,000,000",19354.83870967742,House
2,3,1280 sq.ft.,"Rs. 52,700,000",41171.875,Apartment
2,3,919 sq.ft.,"Rs. 27,000,000",29379.760609357996,Apartment
2,3,1800 sq.ft.,"Rs. 25,500,000",14166.666666666666,House
3,3,2000 sq.ft.,"Rs. 56,000,000",28000.0,Apartment
4,4,2755 sq.ft.,"Rs. 160,000,000",58076.22504537205,Apartment
2,3,1181 sq.ft.,"Rs. 52,000,000",44030.48264182896,Apartment
2,2,1250 sq.ft.,"Rs. 60,000,000",48000.0,Apartment
4,4,2350 sq.ft.,"Rs. 130,000,000",55319.14893617021,Apartment
